feature,family,hypothesis,horizon,n,q1_mean,q1_hac_t,q5_mean,q5_hac_t,q5_minus_q1_mean,spearman_rho_10d,etf_agreement_count,robustness_score
large_trade_sentiment,Large/unusual trades,H1,1,360,0.0010321870062382345,0.7811403824905104,-0.0019034371671052541,-0.9297693475991827,-0.0029356241733434884,-0.08373645119475445,5,5
large_trade_sentiment,Large/unusual trades,H1,3,360,0.0002710504578381856,0.11061178864521164,-0.0032178106209257173,-1.0113633603537326,-0.0034888610787639027,-0.08373645119475445,5,5
large_trade_sentiment,Large/unusual trades,H1,5,360,0.0038891118357177587,1.1158691669512026,-0.0019310319186690687,-0.4990574164244129,-0.005820143754386827,-0.08373645119475445,5,5
large_trade_sentiment,Large/unusual trades,H1,10,360,-0.00021696054862185843,-0.06183931771181801,-0.005208782769543647,-1.224067669779269,-0.004991822220921789,-0.08373645119475445,5,5
large_trade_sentiment,Large/unusual trades,H1,20,360,-0.002735783730187317,-0.5346362617366852,0.0033671152319694037,0.5761421201126022,0.006102898962156721,-0.08373645119475445,5,5
large_trade_0dte_share,Large/unusual trades,H1,1,360,-6.023139659507534e-05,-0.06618019786096815,0.0014186543641204674,0.8953290786400941,0.0014788857607155427,0.1184631487036728,4,14
large_trade_0dte_share,Large/unusual trades,H1,3,360,-0.000209007501801306,-0.10162159572382974,-0.0005558245955703518,-0.21307483624074047,-0.00034681709376904583,0.1184631487036728,4,14
large_trade_0dte_share,Large/unusual trades,H1,5,360,-4.822959737826564e-05,-0.017529946827512972,-0.002529300151241735,-0.7996262844447231,-0.002481070553863469,0.1184631487036728,4,14
large_trade_0dte_share,Large/unusual trades,H1,10,360,-0.00427653780903194,-0.8599375910192542,0.005940868428656356,1.7361213373220548,0.010217406237688296,0.1184631487036728,4,14
large_trade_0dte_share,Large/unusual trades,H1,20,360,-0.0010214829617527761,-0.1220737969173999,0.015604275589654083,2.4990638176706916,0.01662575855140686,0.1184631487036728,4,14
dte_0dte_sentiment,DTE segmentation,H2,1,307,-0.0018815821618145742,-1.0499710292540017,0.0015205038990415089,0.6931139772636229,0.003402086060856083,0.13249711821783863,5,20
dte_0dte_sentiment,DTE segmentation,H2,3,307,-0.0042797373915420805,-1.5433186801975618,0.0033052087077777435,0.748364969381857,0.007584946099319824,0.13249711821783863,5,20
dte_0dte_sentiment,DTE segmentation,H2,5,307,-0.005321727306098773,-1.50059185764443,0.003909900520408986,0.7015467523753793,0.009231627826507759,0.13249711821783863,5,20
dte_0dte_sentiment,DTE segmentation,H2,10,307,-0.011245958000161344,-2.1651749091750956,0.001428867543152944,0.19764062487294498,0.012674825543314287,0.13249711821783863,5,20
dte_0dte_sentiment,DTE segmentation,H2,20,307,-0.013458399031849491,-1.8230873571439075,0.0047045017167659416,0.5199490565180068,0.018162900748615433,0.13249711821783863,5,20
dte_1_7d_sentiment,DTE segmentation,H2,1,359,-0.0016000419866800967,-0.8432734244181819,0.0002571143093264823,0.11644605347644181,0.001857156296006579,0.08537425223493192,2,17
dte_1_7d_sentiment,DTE segmentation,H2,3,359,-0.0030055438537287043,-0.8457845294930457,-0.00024081345535219726,-0.07521730053592075,0.002764730398376507,0.08537425223493192,2,17
dte_1_7d_sentiment,DTE segmentation,H2,5,359,-0.00648418859387694,-1.2919955157734793,-0.0026311965488774076,-0.7000121392960458,0.0038529920449995323,0.08537425223493192,2,17
dte_1_7d_sentiment,DTE segmentation,H2,10,359,-0.013035814291377562,-2.2973660337997432,0.0002465298762148776,0.04141386950114428,0.01328234416759244,0.08537425223493192,2,17
dte_1_7d_sentiment,DTE segmentation,H2,20,359,-0.009402694537196566,-1.398206770200369,0.004706118879828039,0.3182594807616298,0.014108813417024605,0.08537425223493192,2,17
dte_8_30d_sentiment,DTE segmentation,H2,1,360,-0.0012353532263582,-0.7329252140671119,-0.0010551390725942159,-0.5664135433862907,0.00018021415376398412,0.03491873548523097,4,4
dte_8_30d_sentiment,DTE segmentation,H2,3,360,-0.0009511967530284286,-0.2415880038414143,-0.005083406364984858,-1.5963898883269878,-0.0041322096119564295,0.03491873548523097,4,4
dte_8_30d_sentiment,DTE segmentation,H2,5,360,-0.0009772739439490683,-0.20798817659436694,-0.004684778861893648,-1.120561615864475,-0.00370750491794458,0.03491873548523097,4,4
dte_8_30d_sentiment,DTE segmentation,H2,10,360,-0.009410601720987878,-1.9189499441774085,-0.005154957718979965,-1.0729463728233721,0.004255644002007913,0.03491873548523097,4,4
dte_8_30d_sentiment,DTE segmentation,H2,20,360,-0.004955400204766129,-0.5588070479564672,-0.0019699245770409624,-0.24108036393076465,0.0029854756277251666,0.03491873548523097,4,4
dte_31_60d_sentiment,DTE segmentation,H2,1,360,0.000917545324611416,0.5900308469718618,-0.001386056746937561,-0.8009003981995408,-0.002303602071548977,-0.05559390459435077,5,5
dte_31_60d_sentiment,DTE segmentation,H2,3,360,-0.0013421216721182666,-0.535534580793799,0.000753625549906107,0.22344632112960378,0.0020957472220243735,-0.05559390459435077,5,5
dte_31_60d_sentiment,DTE segmentation,H2,5,360,0.0003477433208036157,0.12398535670682168,-0.0034566611044347965,-0.74669904335293,-0.003804404425238412,-0.05559390459435077,5,5
dte_31_60d_sentiment,DTE segmentation,H2,10,360,-0.005099960416333624,-1.249077678957638,-0.010361193732306715,-1.6304986737882952,-0.00526123331597309,-0.05559390459435077,5,5
dte_31_60d_sentiment,DTE segmentation,H2,20,360,-0.006195778689045208,-1.4673318317664257,-0.0012879370447361352,-0.12241151483338769,0.004907841644309073,-0.05559390459435077,5,5
